tic,label,note
122136964,1,EB 8.8% (sweep1)
273376048,1,EB 6.2% (sweep1)
272719652,1,ambiguous single event (sweep1)
198382838,1,EB 22% (500d)
157318662,1,ambiguous 2.8% (500d)
299096355,1,EB 13% (1500a)
236865152,1,EB 10.5% (7500)
407131841,1,EB 4% clean mid-sector (7500)
230065962,1,EB 7.3% (7500)
157999789,1,EB 3.4% (7500)
164886585,1,EB 6.6% (7500)
159716878,1,EB 14% (7500)
270700608,1,ambiguous 4.2ppt isolated (7500)
67966277,0,~1696 global-noise (500b)
233188708,0,known ~1696 momentum-dump (7500)
452178656,0,gap-edge scatter blob (7500)
307985697,0,edge-ramp on variable star (7500)
237100691,0,end-region ramp (1500a)
401732789,0,gap-edge (1000b)
160536227,0,gap-flanking ramp (1000b)
257754638,0,low-SNR edge (1500a)
219857565,0,low-SNR end (1500a)
288468229,0,low-SNR start (1500a)
198182380,0,low-SNR end (1500a)
157320726,0,low-SNR end (7500)
307956620,0,low-SNR end (7500)
264004321,0,low-SNR start (7500)
41091149,0,low-SNR start (7500)
187828061,0,low-SNR start (7500)
70319061,0,~1696 gap-edge scatter (7500)
900457004,0,artifact TIC +-100% noise (7500)
245113750,0,low-SNR near-gap (7500)
229965227,0,low-SNR end-region (7500)
459969554,0,low-SNR near-gap (7500)
219803982,0,low-SNR end (7500)
459976675,0,low-SNR end (7500)
233129702,0,low-SNR end (7500)
230075220,0,low-SNR 42h near-gap (7500)
158316873,0,low-SNR start-region (7500)
275633743,0,low-SNR near-gap (7500)
73487688,1
13389059,1
125755686,1
22945095,1
73624083,0
35085220,0
201379335,0
198416591,0
201244425,0
